number,timestamp,timeZone,lon,lat,coordSys,status,vehicleName,circularErrorProbable,humanDetection,confidence,imgPath
0,1724773884000,+2,13.87539794080121,52.584282035158594,WGS-84,MILECREP,--,0,false,0.8134765625,./image.jpg
1,1724773922000,+2,13.87539794080121,52.584282035158594,WGS-84,MILECREP,--,0,false,0.7763671875,./image.jpg
2,1724773922000,+2,13.87529582640758,52.58439343520948,WGS-84,MILECREP,--,0,false,0.2098388671875,./image.jpg
3,1724773960000,+2,13.87539816079031,52.584282035253864,WGS-84,MILECREP,--,0,false,0.8212890625,./image.jpg
4,1724773998000,+2,13.875397823145537,52.58428204439854,WGS-84,MILECREP,--,0,false,0.673828125,./image.jpg
5,1724774035000,+2,13.87539794080121,52.584282035158594,WGS-84,MILECREP,--,0,false,0.74267578125,./image.jpg
6,1724774074000,+2,13.875397942019758,52.584282035049796,WGS-84,MILECREP,--,0,false,0.6962890625,./image.jpg
7,1724774112000,+2,13.87539760306133,52.5842820436531,WGS-84,MILECREP,--,0,false,0.7724609375,./image.jpg
8,1724774151000,+2,13.875397722030659,52.584282034954526,WGS-84,MILECREP,--,0,false,0.81591796875,./image.jpg
